name,latitude,longitude
Canada,56.130366,-106.346771
Mississippi,32.3546679,-89.3985283
Paris,48.856614,2.3522219
Illinois Central,41.8802802,-87.6235719
Bonhag,0,0
Illinois,40.6331249,-89.3985283
Messalinas,0,0
North,22.5009081,114.1558258
Wabash,40.797821,-85.8205411
Indiana,40.2671941,-86.1349019
Republic of Texas,37.1239659,-93.431783
Texas,31.9685988,-99.9018131
Harrisburg,40.2731911,-76.8867008
PHILADELPHIA,39.9525839,-75.1652215
Moyamensing Prison,0,0
South Philadelphia,39.9093147,-75.1662121
Tricotrin,0,0
Germany,51.165691,10.451526
Brussels,50.8503396,4.3517103
Newton Targool,0,0
Spain,40.463667,-3.74922
Alaska,64.2008413,-149.4936733
Alta,69.9687376,23.2715496
Desmas,44.017785,4.080764
Erie Canal,42.9434033,-74.2914686
Rome,41.9027835,12.4963655
Normandy,48.8798704,0.1712529
Missouri,37.9642529,-91.8318334
England,52.3555177,-1.1743197
St. Agatha,48.3863842,13.8749378
Washington,38.9071923,-77.0368707
Boule,46.66446,-0.70422
Camden,51.5517059,-0.1588255
Caligula,25.6602076,-100.2272873
Broadway,40.7045116,-74.0142757
Hudson Canal,28.3648776,-82.7042842
Turkey,38.963745,35.243322
Gulf,29.8001623,-85.354965
West,5.4638158,10.8000051
France,46.227638,2.213749
State,40.6476682,-111.8887592
Semple,36.3151941,139.6237126
Lake Shore,45.6427377,-87.1917388
East,3.9505128,13.914399
Great Lakes,45.0522366,-82.4846115
Chestnut,34.0090967,-90.05461
Arizona,34.0489281,-111.0937311
ESQ.,34.6709623,135.4933592
Cuba,21.521757,-77.781167
Castile,42.6289515,-78.0544514
Schuylkill,40.6873058,-76.1783739
Sioux City,42.4999942,-96.4003069
New Orleans,29.9510658,-90.0715323
Mycteroperca,0,0
St. Timothy,14.328703,120.9671559
London,51.5073509,-0.1277583
America,37.09024,-95.712891
Rock Island,41.5094771,-90.5787476
Cyrus Field,41.027573,-73.8487988
Pacific Ocean,-8.783195,-124.508523
Riviera,50.233844,2.685276
Northern Pacific,46.8759253,-96.7901955
Florida,27.6648274,-81.5157535
Rhode Island,41.5800945,-71.4774291
United States,37.09024,-95.712891
Dead Sea,31.5590287,35.4731895
Ohio,40.4172871,-82.907123
Russia,61.52401,105.318756
Newfoundland,53.1355091,-57.6604364
West Philadelphia,39.9757092,-75.2128996
Boston,42.3600825,-71.0588801
Owen,39.3603429,-86.8220341
North Carolina,35.7595731,-79.0192997
Garden of Eden,54.7283869,-5.7758407
Panama,8.537981,-80.782127
Delaware,38.9108325,-75.5276699
Payderson,0,0
United States Bank,29.3995054,-98.4987337
Providence,41.8239891,-71.4128343
Vicksburg,32.3526456,-90.877882
Rittenhouse Square,39.9494655,-75.1718643
Ireland,53.41291,-8.24389
Central Pacific,38.4812308,-90.7380489
Europe,54.5259614,15.2551187
Columbia River,46.2453111,-123.8018909
Panama Canal,9.1422762,-79.7240525
South,44.4669941,-73.1709604
Chapin,34.1659795,-81.3498211
Lake Michigan,43.4501005,-87.2220187
Germantown,39.1731621,-77.2716502
Rockies,50,-114
Princeton,40.3572976,-74.6672226
Pennsylvania,41.2033216,-77.1945247
Athens,37.983917,23.7293599
Southern Pacific,38.5919733,-121.4941738
Third National Bank,31.5044204,74.277479
Cowperwood,0,0
Gettysburg,39.8309293,-77.2310955
Pacific,46.5180824,-123.8264512
New York,40.7127837,-74.0059413
Milan,45.4654219,9.1859243
Wingate,34.9843176,-80.4492319
Shannon,34.1162203,-88.7117181
Venice,45.4408474,12.3155151
Southwark,51.502781,-0.087738
Chicago,41.8781136,-87.6297982
Lake Superior,47.723087,-86.940716
Philadelphia,39.9525839,-75.1652215
Eastern Penitentiary,39.1127554,-75.9855592
Wycroft,43.4369382,-79.7066265
Sforzas,43.9619575,12.7363863
Springfield,42.1014831,-72.589811
Germantown Road,39.1579217,-77.2850439
West Chester,39.9606643,-75.6054882
Virginia,37.4315734,-78.6568942
Strobik,50.5332975,17.3642173
Chicago River,41.888471,-87.615861
Atlantic,41.4036007,-95.0138776
St. Agatha 's,47.2430959,-68.3136517
Tighes,-32.9089907,151.7493221
Chesapeake,36.7682088,-76.2874927
Mycteroperca Bonaci,0,0
Wilmington,39.7390721,-75.5397878
Philadelphia Public Ledger,0,0
Independence Hall,39.948859,-75.1500358
North Pennsylvania,41.2033216,-77.1945247
Eastern Penitentiary of Pennsylvania,41.2033216,-77.1945247
Duluth,46.7866719,-92.1004852
Garrison,41.3839827,-73.945694
Ecclesiastes,14.6828926,120.5127763
Baltimore,39.2903848,-76.6121893
Stener,61.3198367,11.8030413
Callum,46.515273,-80.622528
Mexico,23.634501,-102.552784
Delaware Bay,39.1201705,-75.2479061
States,42.7723164,-94.0900971
Pethick,50.3817662,-4.4239473
Wissahickon,40.0187059,-75.2056056
Greece,39.074208,21.824312
Sargasso Sea,28,-66
St. Paul,44.9537029,-93.0899578
Mollenhauer,34.4347939,-119.8369423
